Website Domain,Technology Name,Technology ID,Usage_Duration_Days
9,202,102,62
9,90,32,0
9,14,67,61
15,196,57,0
5,55,2,2
15,129,155,0
15,74,166,0
12,144,38,0
12,172,115,61
5,210,202,90
5,115,208,80
15,132,167,0
3,44,100,0
15,30,0,0
15,85,113,0
15,31,209,8
15,166,46,9
15,70,156,0
8,101,187,0
5,59,111,1
8,224,61,56
15,134,196,0
5,28,188,0
8,232,171,0
6,37,164,82
12,122,22,66
15,148,49,0
6,82,11,2
5,118,3,0
15,145,232,0
12,107,13,0
12,5,192,0
15,17,5,0
1,13,179,0
5,32,41,14
8,0,68,0
15,3,116,0
1,150,154,0
3,111,7,0
8,222,213,0
3,64,138,0
5,218,55,10
3,77,72,0
4,224,61,67
15,189,157,4
2,57,234,6
15,29,27,54
2,224,61,71
8,168,146,0
4,83,4,2
15,197,101,4
15,130,163,0
5,45,233,0
15,211,103,0
3,120,20,0
15,224,61,70
3,184,96,0
5,191,40,0
8,87,118,0
3,174,39,0
3,98,131,0
3,1,221,0
12,185,52,0
12,224,61,77
0,41,70,0
3,100,137,3
8,170,212,0
8,80,48,0
15,215,50,0
9,66,203,0
16,141,1,0
2,150,154,1
6,89,206,0
15,133,78,0
3,119,81,0
3,150,154,3
5,211,103,68
12,115,208,68
5,175,10,7
6,75,210,0
8,159,82,0
9,173,120,0
12,47,217,0
5,213,230,0
15,169,228,2
0,224,61,56
15,26,173,0
6,41,70,0
3,115,208,0
15,152,223,4
5,216,85,0
5,178,135,0
0,143,190,6
15,21,24,0
15,131,142,0
7,230,122,2
12,135,6,0
15,149,9,0
8,228,126,0
15,110,145,57
5,166,46,2
5,31,209,15
6,234,73,0
5,187,141,15
5,95,12,0
15,220,86,0
3,83,4,0
12,55,2,0
5,97,227,1
3,56,80,0
15,201,144,0
3,108,60,0
15,225,226,0
5,147,201,0
6,167,150,73
3,125,54,0
6,183,83,61
9,187,141,0
15,223,130,0
3,72,84,0
9,83,4,1
11,78,114,0
5,84,124,1
9,189,157,0
5,155,128,14
15,25,66,0
5,12,74,0
9,138,185,85
15,157,158,0
5,40,33,0
9,136,108,0
5,48,110,0
7,224,61,3
5,137,181,2
5,86,222,0
6,231,200,0
14,224,61,60
5,99,64,0
15,55,2,2
15,34,97,1
15,42,127,0
5,198,165,0
12,93,172,0
9,63,63,29
3,190,178,0
4,150,154,3
8,115,208,0
1,61,25,0
5,94,18,68
12,146,87,0
3,200,94,0
15,221,62,0
3,33,183,0
6,140,204,0
4,6,19,0
16,113,125,0
15,27,90,6
5,176,28,0
8,90,32,0
12,233,194,61
15,135,6,13
15,218,55,6
12,223,130,0
15,229,123,0
15,115,208,78
9,224,61,70
6,53,106,82
5,46,14,0
6,193,159,73
8,203,186,0
5,209,177,0
15,121,236,5
5,214,58,0
6,199,104,0
9,73,16,0
8,150,154,0
5,15,44,0
5,188,77,2
6,23,152,1
8,116,216,21
5,91,161,0
15,226,174,0
3,6,19,0
8,152,223,0
5,160,231,0
4,36,89,25
5,192,198,0
3,195,59,0
9,115,208,0
9,43,21,0
5,67,199,0
12,163,98,0
8,165,75,0
3,151,37,0
6,109,34,0
8,83,4,0
6,126,170,0
5,117,51,0
12,50,93,0
5,219,23,6
9,106,69,3
9,65,79,0
13,224,61,15
3,4,160,0
9,142,220,0
12,227,132,0
9,205,129,0
8,102,17,0
8,153,219,0
3,88,205,0
9,150,154,2
5,8,76,10
15,69,121,0
5,189,157,15
9,153,219,0
15,161,184,0
5,212,215,0
0,9,168,0
9,145,232,2
5,112,197,0
8,204,65,0
8,180,42,0
3,22,175,0
9,63,134,0
9,81,189,0
9,71,225,61
12,182,31,0
15,83,4,3
5,224,61,76
5,196,57,6
4,11,214,39
